dstport,protocol,tag
1970,icmp,tag_845
40875,icmp,tag_459
14098,tcp,tag_745
7535,tcp,tag_402
28645,udp,tag_904
8103,tcp,tag_682
32144,icmp,tag_454
28358,tcp,tag_813
25050,udp,tag_295
55041,udp,tag_878
33383,icmp,tag_810
47295,udp,tag_625
36337,icmp,tag_437
38798,udp,tag_483
21977,tcp,tag_171
33224,icmp,tag_924
47594,tcp,tag_728
62415,udp,tag_902
53465,udp,tag_579
63530,icmp,tag_395
20953,icmp,tag_12
19439,tcp,tag_115
9028,udp,tag_900
58009,udp,tag_535
35377,udp,tag_571
36161,udp,tag_229
51649,udp,tag_833
21642,icmp,tag_613
34374,icmp,tag_848
29660,udp,tag_965
7958,tcp,tag_521
2266,tcp,tag_456
38494,icmp,tag_444
47233,icmp,tag_649
51479,tcp,tag_632
25902,icmp,tag_361
63215,tcp,tag_406
52358,udp,tag_794
7392,tcp,tag_657
47768,tcp,tag_390
39315,tcp,tag_377
62523,icmp,tag_48
57987,tcp,tag_761
62417,icmp,tag_847
47955,tcp,tag_181
968,udp,tag_404
30796,udp,tag_643
41957,udp,tag_736
22342,tcp,tag_252
24533,icmp,tag_870
2356,tcp,tag_323
10698,icmp,tag_91
49736,udp,tag_159
51026,icmp,tag_147
380,icmp,tag_65
65003,udp,tag_527
2586,icmp,tag_510
39634,tcp,tag_610
31821,icmp,tag_477
38701,tcp,tag_604
63566,icmp,tag_335
31437,icmp,tag_294
22955,tcp,tag_676
55561,udp,tag_198
324,tcp,tag_286
40275,icmp,tag_800
36768,udp,tag_156
40611,udp,tag_266
15764,icmp,tag_775
19641,udp,tag_120
19887,tcp,tag_263
54924,icmp,tag_530
8754,icmp,tag_209
24184,icmp,tag_962
6634,icmp,tag_431
22405,tcp,tag_773
6717,udp,tag_13
37055,tcp,tag_166
36456,udp,tag_616
16328,udp,tag_887
25714,tcp,tag_601
24939,tcp,tag_13
24534,tcp,tag_260
16531,icmp,tag_312
65344,tcp,tag_979
22871,udp,tag_403
17468,tcp,tag_180
57850,tcp,tag_426
51824,udp,tag_580
4987,udp,tag_384
24795,tcp,tag_217
12389,udp,tag_382
14937,icmp,tag_144
46689,udp,tag_354
54462,icmp,tag_190
8526,udp,tag_87
52946,icmp,tag_220
16513,tcp,tag_520
25205,icmp,tag_625
21703,udp,tag_918
28174,tcp,tag_823
3889,tcp,tag_428
46823,udp,tag_438
19343,tcp,tag_496
14783,icmp,tag_192
41384,icmp,tag_325
31358,tcp,tag_607
14469,icmp,tag_107
28294,icmp,tag_958
64216,icmp,tag_672
23687,udp,tag_469
4511,icmp,tag_733
64050,icmp,tag_222
26417,udp,tag_276
26148,udp,tag_597
30599,tcp,tag_68
59728,udp,tag_970
35127,tcp,tag_287
33258,tcp,tag_496
43239,udp,tag_449
28148,tcp,tag_188
21966,tcp,tag_26
55773,udp,tag_207
4617,icmp,tag_999
65258,udp,tag_181
40308,tcp,tag_99
30004,icmp,tag_156
33898,tcp,tag_542
41594,tcp,tag_378
54365,icmp,tag_902
45085,icmp,tag_511
21763,icmp,tag_526
52314,icmp,tag_434
33136,icmp,tag_702
27595,tcp,tag_723
51146,tcp,tag_382
59382,tcp,tag_197
698,tcp,tag_178
36985,icmp,tag_517
28166,tcp,tag_95
24239,tcp,tag_157
32181,icmp,tag_119
14779,icmp,tag_565
50593,tcp,tag_92
50764,udp,tag_49
3291,tcp,tag_778
12139,udp,tag_889
27173,udp,tag_66
35941,tcp,tag_337
580,icmp,tag_515
4865,udp,tag_811
47949,udp,tag_228
14372,tcp,tag_565
36651,tcp,tag_196
64542,udp,tag_961
5002,icmp,tag_551
58583,udp,tag_264
21680,udp,tag_739
8378,icmp,tag_751
2935,udp,tag_559
23328,udp,tag_258
52090,udp,tag_238
6101,udp,tag_559
36815,icmp,tag_393
36395,tcp,tag_915
20219,tcp,tag_85
54447,icmp,tag_427
31603,icmp,tag_638
63381,tcp,tag_352
51181,tcp,tag_236
63305,udp,tag_510
36763,icmp,tag_586
22583,tcp,tag_232
28524,udp,tag_194
32407,icmp,tag_382
51286,icmp,tag_418
57925,tcp,tag_822
46884,tcp,tag_682
31544,icmp,tag_707
58500,icmp,tag_855
55174,tcp,tag_586
53682,tcp,tag_875
2518,icmp,tag_529
31447,tcp,tag_760
4308,udp,tag_669
849,icmp,tag_946
41531,tcp,tag_204
32056,tcp,tag_412
46920,tcp,tag_320
53487,udp,tag_928
58198,icmp,tag_675
36445,icmp,tag_837
46843,tcp,tag_651
61730,tcp,tag_288
11874,udp,tag_520
46426,udp,tag_821
45290,udp,tag_445
41731,udp,tag_19
39123,udp,tag_643
12906,icmp,tag_765
33342,tcp,tag_271
47133,tcp,tag_204
61396,udp,tag_822
24742,icmp,tag_599
38295,icmp,tag_976
5953,tcp,tag_821
37584,icmp,tag_347
47538,icmp,tag_193
44269,tcp,tag_878
36819,udp,tag_279
4848,udp,tag_738
48398,udp,tag_720
56034,tcp,tag_346
52304,udp,tag_602
7072,tcp,tag_279
27736,udp,tag_889
47152,icmp,tag_53
26518,udp,tag_209
28687,tcp,tag_617
18742,tcp,tag_739
16016,tcp,tag_175
59493,tcp,tag_532
44278,icmp,tag_812
381,udp,tag_782
3805,udp,tag_124
51317,udp,tag_847
60127,icmp,tag_938
39469,icmp,tag_810
50937,tcp,tag_370
15497,udp,tag_497
18713,tcp,tag_656
22427,udp,tag_792
61548,tcp,tag_762
58392,icmp,tag_779
28108,udp,tag_790
55071,udp,tag_717
7572,icmp,tag_283
57222,tcp,tag_193
59900,icmp,tag_630
29658,udp,tag_97
54861,tcp,tag_13
49223,tcp,tag_619
24222,tcp,tag_822
53677,icmp,tag_35
61257,tcp,tag_59
11732,tcp,tag_347
41582,udp,tag_549
18485,udp,tag_361
35002,udp,tag_629
14603,icmp,tag_861
53239,udp,tag_99
46722,icmp,tag_992
55881,tcp,tag_239
41909,tcp,tag_611
47307,tcp,tag_415
47645,icmp,tag_474
31044,tcp,tag_818
6268,icmp,tag_739
11152,icmp,tag_128
26378,udp,tag_422
39457,udp,tag_268
27014,udp,tag_921
33127,icmp,tag_611
4173,icmp,tag_864
12623,icmp,tag_88
17310,icmp,tag_561
11368,icmp,tag_873
47292,tcp,tag_673
35697,tcp,tag_757
3248,tcp,tag_301
27264,tcp,tag_16
45600,icmp,tag_591
1672,udp,tag_853
14,udp,tag_115
5965,udp,tag_847
42833,tcp,tag_838
12318,tcp,tag_325
20132,icmp,tag_160
49505,icmp,tag_765
43596,icmp,tag_198
55704,tcp,tag_621
35977,icmp,tag_144
49705,icmp,tag_409
37653,udp,tag_429
46509,tcp,tag_355
22156,tcp,tag_176
5595,tcp,tag_380
55878,tcp,tag_179
50985,tcp,tag_59
57717,tcp,tag_984
27296,icmp,tag_623
47909,udp,tag_164
44317,tcp,tag_258
17335,tcp,tag_347
63974,tcp,tag_306
28821,udp,tag_927
7934,tcp,tag_597
41274,icmp,tag_949
58979,udp,tag_597
62715,udp,tag_269
32257,udp,tag_589
63509,tcp,tag_824
54204,udp,tag_946
23097,udp,tag_460
63591,icmp,tag_226
13378,icmp,tag_985
47339,tcp,tag_335
63738,icmp,tag_346
27964,udp,tag_469
3087,tcp,tag_766
57603,udp,tag_630
727,tcp,tag_503
6029,tcp,tag_555
57232,icmp,tag_471
22480,tcp,tag_140
3338,udp,tag_455
258,icmp,tag_387
28425,icmp,tag_81
10144,icmp,tag_741
49056,udp,tag_280
19284,icmp,tag_11
41990,udp,tag_204
25056,udp,tag_448
48923,udp,tag_714
6008,udp,tag_718
28710,icmp,tag_39
10157,icmp,tag_838
22327,icmp,tag_910
19365,tcp,tag_328
18477,icmp,tag_585
35597,icmp,tag_172
25762,udp,tag_435
4715,icmp,tag_676
19337,udp,tag_448
16794,udp,tag_548
57151,icmp,tag_898
49303,icmp,tag_158
9462,tcp,tag_265
52321,udp,tag_663
43313,icmp,tag_484
2859,tcp,tag_959
58621,udp,tag_692
25239,tcp,tag_696
61327,tcp,tag_748
714,icmp,tag_123
30324,tcp,tag_66
44081,tcp,tag_43
11815,icmp,tag_487
52855,tcp,tag_177
9344,icmp,tag_531
31845,icmp,tag_405
11652,udp,tag_14
5680,icmp,tag_433
48598,udp,tag_168
12179,tcp,tag_905
12599,udp,tag_11
4137,icmp,tag_450
2981,icmp,tag_137
15890,tcp,tag_842
50007,udp,tag_201
12701,tcp,tag_610
41906,tcp,tag_702
58775,udp,tag_220
2779,tcp,tag_406
1368,icmp,tag_51
5715,tcp,tag_886
42218,icmp,tag_685
6356,tcp,tag_233
21415,tcp,tag_797
22224,tcp,tag_615
38798,icmp,tag_865
5223,udp,tag_829
1547,icmp,tag_159
25946,udp,tag_789
56213,tcp,tag_991
726,tcp,tag_166
42180,tcp,tag_766
39647,udp,tag_871
43424,udp,tag_56
2586,icmp,tag_506
56123,udp,tag_157
3864,udp,tag_970
7875,udp,tag_363
63655,icmp,tag_471
11820,icmp,tag_890
27617,icmp,tag_944
57449,icmp,tag_342
38182,tcp,tag_497
59494,icmp,tag_204
36474,tcp,tag_702
30056,udp,tag_382
36268,tcp,tag_485
14733,tcp,tag_276
39225,icmp,tag_400
2216,udp,tag_275
45065,udp,tag_661
20607,tcp,tag_442
13435,tcp,tag_294
54203,udp,tag_529
45775,tcp,tag_632
17083,udp,tag_401
2776,icmp,tag_797
54702,udp,tag_726
13929,tcp,tag_713
57675,udp,tag_274
57546,icmp,tag_33
6549,udp,tag_77
13241,udp,tag_752
47496,udp,tag_407
23210,udp,tag_651
2527,tcp,tag_998
64685,icmp,tag_101
9089,udp,tag_293
19266,tcp,tag_66
61630,udp,tag_811
30275,tcp,tag_514
33306,icmp,tag_611
48461,udp,tag_466
22977,tcp,tag_331
20826,icmp,tag_903
39089,tcp,tag_482
57835,tcp,tag_477
56910,udp,tag_773
64314,icmp,tag_990
52466,icmp,tag_674
34091,tcp,tag_697
62113,icmp,tag_272
25667,icmp,tag_269
16893,icmp,tag_182
10422,icmp,tag_523
57010,tcp,tag_88
48986,icmp,tag_861
38957,udp,tag_189
63835,udp,tag_52
9255,udp,tag_369
3781,udp,tag_669
11118,tcp,tag_46
9232,tcp,tag_956
61550,tcp,tag_481
52041,udp,tag_772
65445,tcp,tag_355
27549,icmp,tag_215
43765,tcp,tag_943
25884,udp,tag_164
12492,icmp,tag_41
7280,icmp,tag_478
22028,icmp,tag_958
18345,icmp,tag_619
48861,icmp,tag_99
14135,icmp,tag_216
62537,icmp,tag_424
35120,tcp,tag_359
4358,tcp,tag_324
45667,udp,tag_517
29432,tcp,tag_827
40668,tcp,tag_304
30899,udp,tag_344
51067,udp,tag_523
4576,udp,tag_761
16607,icmp,tag_862
50996,tcp,tag_808
3718,udp,tag_100
26754,udp,tag_760
15049,icmp,tag_429
43108,udp,tag_940
6192,udp,tag_102
27247,udp,tag_164
48775,udp,tag_338
16395,udp,tag_410
49295,udp,tag_111
4990,icmp,tag_488
47161,udp,tag_762
38229,udp,tag_914
24396,tcp,tag_766
11357,udp,tag_820
61355,tcp,tag_287
14139,udp,tag_576
15207,udp,tag_575
53730,tcp,tag_415
52938,icmp,tag_103
22825,tcp,tag_191
32530,icmp,tag_144
27027,icmp,tag_969
8340,icmp,tag_813
40903,icmp,tag_921
7976,tcp,tag_699
6368,udp,tag_100
26019,udp,tag_122
6433,tcp,tag_597
7388,udp,tag_544
54522,udp,tag_351
15932,icmp,tag_848
23190,udp,tag_734
45968,udp,tag_60
434,icmp,tag_564
7312,udp,tag_188
7282,tcp,tag_192
35970,tcp,tag_162
26155,icmp,tag_472
34075,icmp,tag_656
40642,udp,tag_500
30965,udp,tag_355
33923,icmp,tag_115
49238,tcp,tag_164
56496,tcp,tag_370
21544,udp,tag_607
8894,icmp,tag_578
52390,udp,tag_398
53415,icmp,tag_392
44507,udp,tag_707
35005,tcp,tag_135
64672,udp,tag_373
65382,udp,tag_501
64236,tcp,tag_829
14858,icmp,tag_798
33984,tcp,tag_947
59788,tcp,tag_47
11860,tcp,tag_176
37069,tcp,tag_205
37299,tcp,tag_978
12424,tcp,tag_456
61506,icmp,tag_747
46265,udp,tag_168
22458,udp,tag_959
11505,tcp,tag_550
5146,udp,tag_974
30248,udp,tag_912
47974,tcp,tag_322
64531,icmp,tag_1000
10340,udp,tag_246
22309,tcp,tag_872
19631,icmp,tag_139
64211,udp,tag_223
44207,icmp,tag_194
60801,udp,tag_654
5279,udp,tag_322
22218,icmp,tag_534
8984,icmp,tag_405
4529,tcp,tag_356
62748,icmp,tag_413
8318,icmp,tag_630
55346,icmp,tag_567
32080,tcp,tag_150
41008,icmp,tag_827
27277,tcp,tag_55
57582,icmp,tag_533
15980,tcp,tag_506
23325,icmp,tag_920
36793,icmp,tag_961
27362,tcp,tag_164
41506,icmp,tag_770
59827,udp,tag_597
28094,tcp,tag_984
60046,udp,tag_806
47661,udp,tag_635
23641,tcp,tag_485
37196,tcp,tag_941
28944,icmp,tag_921
6555,tcp,tag_42
30514,icmp,tag_409
5815,udp,tag_363
16151,icmp,tag_582
54732,udp,tag_701
32333,udp,tag_297
49017,tcp,tag_887
15727,tcp,tag_781
6267,icmp,tag_299
58623,udp,tag_354
28797,tcp,tag_930
1406,tcp,tag_64
25148,tcp,tag_347
22331,tcp,tag_281
15078,udp,tag_246
27784,tcp,tag_643
13284,tcp,tag_177
63934,icmp,tag_699
1292,udp,tag_293
35903,udp,tag_303
26120,udp,tag_218
31620,icmp,tag_319
50291,udp,tag_671
36664,icmp,tag_976
60161,icmp,tag_301
14331,udp,tag_453
41212,tcp,tag_424
50509,udp,tag_521
3316,icmp,tag_730
54077,udp,tag_521
19015,tcp,tag_594
3206,icmp,tag_683
12497,udp,tag_488
58525,udp,tag_753
61132,tcp,tag_537
1108,udp,tag_366
64471,tcp,tag_743
3534,udp,tag_5
39742,udp,tag_137
27630,udp,tag_672
13183,icmp,tag_698
14650,icmp,tag_17
50562,udp,tag_652
19368,udp,tag_478
37984,icmp,tag_252
37335,icmp,tag_160
36406,tcp,tag_12
42771,icmp,tag_183
2177,tcp,tag_713
45174,tcp,tag_934
65333,udp,tag_813
18884,tcp,tag_315
56571,icmp,tag_954
41795,tcp,tag_358
26191,icmp,tag_13
10934,tcp,tag_541
13157,icmp,tag_402
27361,udp,tag_193
32423,tcp,tag_186
9377,tcp,tag_437
22903,icmp,tag_739
17152,tcp,tag_406
60198,icmp,tag_471
37022,udp,tag_627
19781,icmp,tag_622
59527,tcp,tag_98
39951,icmp,tag_951
46998,tcp,tag_253
56505,icmp,tag_524
14038,tcp,tag_884
5844,udp,tag_687
61778,icmp,tag_21
35255,tcp,tag_461
8083,icmp,tag_770
61603,udp,tag_939
27995,udp,tag_809
60718,udp,tag_465
46635,icmp,tag_507
9721,udp,tag_610
25467,tcp,tag_69
45680,udp,tag_769
29819,icmp,tag_539
2909,icmp,tag_364
31955,udp,tag_1
6721,udp,tag_372
23377,udp,tag_821
2596,tcp,tag_178
41788,tcp,tag_40
21318,udp,tag_723
39838,icmp,tag_99
791,tcp,tag_122
26136,udp,tag_119
23688,udp,tag_236
43080,icmp,tag_173
49524,udp,tag_972
18162,tcp,tag_176
4392,tcp,tag_774
3437,tcp,tag_35
3028,icmp,tag_811
22954,icmp,tag_856
60790,icmp,tag_566
20975,tcp,tag_468
53041,udp,tag_25
42885,tcp,tag_656
18819,udp,tag_84
28470,udp,tag_151
44095,icmp,tag_948
33047,tcp,tag_367
47133,udp,tag_354
19942,icmp,tag_60
47501,icmp,tag_677
55150,tcp,tag_861
61273,icmp,tag_24
36583,udp,tag_73
65007,icmp,tag_550
27788,tcp,tag_60
49284,icmp,tag_880
27738,tcp,tag_652
31037,udp,tag_220
55906,udp,tag_113
38366,udp,tag_340
37658,tcp,tag_442
25225,udp,tag_774
46546,udp,tag_86
38626,udp,tag_414
19239,icmp,tag_788
59082,udp,tag_334
12407,tcp,tag_504
17412,tcp,tag_136
58461,tcp,tag_412
43580,icmp,tag_831
29101,udp,tag_754
34567,icmp,tag_310
33717,udp,tag_299
62175,udp,tag_300
20900,udp,tag_607
7288,udp,tag_738
959,icmp,tag_115
51640,udp,tag_529
52730,udp,tag_908
20971,udp,tag_39
14846,tcp,tag_471
61247,tcp,tag_393
22094,icmp,tag_921
9877,udp,tag_167
58959,tcp,tag_613
25372,udp,tag_926
64805,icmp,tag_941
21112,icmp,tag_816
39525,icmp,tag_344
38406,tcp,tag_369
9460,udp,tag_458
45505,udp,tag_316
21211,icmp,tag_836
24242,icmp,tag_508
14356,icmp,tag_912
43945,icmp,tag_380
10214,icmp,tag_82
36646,tcp,tag_56
65420,tcp,tag_298
35750,udp,tag_936
223,udp,tag_953
46261,tcp,tag_935
63110,udp,tag_146
58694,udp,tag_58
32473,udp,tag_449
12136,tcp,tag_554
12440,icmp,tag_78
14365,udp,tag_896
29745,tcp,tag_316
16522,icmp,tag_736
61077,udp,tag_376
26117,icmp,tag_813
47293,tcp,tag_869
17354,tcp,tag_277
49079,tcp,tag_671
22140,icmp,tag_489
6975,tcp,tag_397
38232,icmp,tag_518
16224,udp,tag_215
45333,tcp,tag_731
9219,udp,tag_187
15534,udp,tag_778
20969,udp,tag_18
30571,tcp,tag_60
25098,udp,tag_683
41553,udp,tag_343
10244,icmp,tag_340
43915,tcp,tag_126
62472,icmp,tag_60
52804,udp,tag_835
34474,icmp,tag_870
19268,udp,tag_87
6693,udp,tag_730
59650,udp,tag_795
37325,udp,tag_201
36572,tcp,tag_117
20846,udp,tag_561
56372,tcp,tag_993
28231,tcp,tag_991
51817,icmp,tag_386
48387,icmp,tag_146
2292,icmp,tag_926
46377,tcp,tag_959
2692,udp,tag_773
19537,udp,tag_920
19514,udp,tag_542
48030,icmp,tag_884
59177,icmp,tag_719
3989,udp,tag_322
23810,tcp,tag_912
60933,tcp,tag_818
62504,udp,tag_705
19507,tcp,tag_114
46007,udp,tag_587
5114,icmp,tag_22
53807,icmp,tag_311
18088,tcp,tag_5
10739,tcp,tag_280
4097,udp,tag_243
7918,icmp,tag_422
63698,icmp,tag_44
26527,icmp,tag_512
38800,icmp,tag_990
11485,icmp,tag_981
3512,tcp,tag_477
