Tag Counts:
Tag,Count
tag_128,14
tag_793,13
tag_337,13
tag_672,9
tag_80,9
tag_868,12
tag_210,9
tag_127,6
tag_297,13
tag_316,14
tag_880,10
tag_644,11
tag_369,16
tag_360,9
tag_266,13
tag_627,7
tag_310,10
tag_783,13
tag_933,11
tag_491,17
tag_854,8
tag_251,18
tag_828,16
tag_434,14
tag_67,12
tag_412,10
tag_120,7
tag_805,12
tag_269,11
tag_288,8
tag_230,12
tag_930,16
tag_180,13
tag_898,11
tag_738,12
tag_256,4
tag_232,13
tag_448,15
tag_675,13
tag_832,11
tag_364,8
tag_40,10
tag_149,8
tag_781,8
tag_611,11
tag_571,9
tag_119,8
tag_550,10
tag_791,7
tag_87,13
tag_146,10
tag_18,7
tag_902,9
tag_519,9
tag_556,13
tag_215,14
tag_504,11
tag_912,5
tag_693,5
tag_512,10
tag_641,11
tag_581,8
tag_725,12
tag_443,12
tag_233,13
tag_650,6
tag_36,6
tag_375,13
tag_477,9
tag_161,9
tag_102,12
tag_970,7
tag_728,9
tag_804,12
tag_703,11
tag_277,8
tag_424,11
tag_847,9
tag_538,8
tag_41,2
tag_320,9
tag_947,20
tag_383,11
tag_916,6
tag_52,11
tag_422,21
tag_69,14
tag_925,12
tag_689,13
tag_576,8
tag_26,13
tag_505,12
tag_724,10
tag_21,14
tag_94,7
tag_267,13
tag_731,7
tag_915,7
tag_426,9
tag_596,8
tag_629,13
tag_564,6
tag_220,8
tag_240,13
tag_858,9
tag_257,10
tag_588,11
tag_466,12
tag_990,8
tag_670,13
tag_339,14
tag_101,10
tag_396,9
tag_716,13
tag_166,12
tag_567,8
tag_219,13
tag_523,12
tag_201,12
tag_59,9
tag_198,11
tag_824,14
tag_349,14
tag_235,8
tag_341,15
tag_733,6
tag_649,13
tag_46,10
tag_907,4
tag_174,14
tag_154,11
tag_956,14
tag_222,13
tag_44,14
tag_895,14
tag_326,7
tag_574,6
tag_848,12
tag_771,10
tag_122,6
tag_367,11
tag_754,12
tag_467,11
tag_391,11
tag_432,12
tag_189,14
tag_552,8
tag_986,11
tag_747,10
tag_871,3
tag_486,8
tag_763,9
tag_926,9
tag_358,7
tag_864,12
tag_875,15
tag_1000,9
tag_9,8
tag_855,9
tag_852,12
tag_78,11
tag_545,12
tag_481,10
tag_304,10
tag_946,7
tag_225,10
tag_2,9
tag_774,14
tag_684,11
tag_664,11
tag_530,8
tag_231,5
tag_295,11
tag_941,11
tag_476,12
tag_353,18
tag_165,7
tag_291,13
tag_228,13
tag_329,10
tag_107,9
tag_690,12
tag_761,9
tag_12,8
tag_388,9
tag_573,6
tag_468,6
tag_959,9
tag_483,13
tag_338,12
tag_744,11
tag_213,13
tag_846,8
tag_181,12
tag_808,16
tag_931,14
tag_642,10
tag_6,11
tag_585,7
tag_525,9
tag_395,9
tag_332,7
tag_563,11
tag_53,14
tag_798,6
tag_506,5
tag_958,17
tag_260,10
tag_952,10
tag_882,8
tag_489,11
tag_8,10
tag_707,10
tag_863,11
tag_592,8
tag_183,15
tag_473,9
tag_609,10
tag_356,13
tag_547,12
tag_264,10
tag_334,10
tag_372,9
tag_90,12
tag_234,8
tag_104,9
tag_809,12
tag_953,9
tag_528,8
tag_371,16
tag_772,12
tag_384,7
tag_734,13
tag_482,11
tag_679,9
tag_939,13
tag_911,7
tag_862,8
tag_730,11
tag_723,14
tag_237,8
tag_927,13
tag_973,7
tag_779,13
tag_746,8
tag_276,6
tag_535,10
tag_500,10
tag_985,10
tag_652,16
tag_246,20
tag_623,14
tag_17,5
tag_50,12
tag_142,11
tag_948,9
tag_229,9
tag_139,14
tag_66,13
tag_616,7
tag_302,10
tag_373,10
tag_214,10
tag_185,7
tag_522,5
tag_932,14
tag_77,14
tag_938,11
tag_32,10
tag_826,14
tag_331,9
tag_732,12
tag_447,12
tag_595,4
tag_999,7
tag_114,7
tag_91,11
tag_753,15
tag_324,11
tag_470,2
tag_886,11
tag_209,16
tag_285,13
tag_683,10
tag_478,9
tag_892,7
tag_303,17
tag_687,11
tag_806,13
tag_190,11
tag_777,12
tag_995,8
tag_802,9
tag_487,10
tag_980,6
tag_428,5
tag_255,7
tag_193,21
tag_152,12
tag_797,7
tag_714,14
tag_290,16
tag_464,11
tag_56,10
tag_894,10
tag_81,8
tag_903,8
tag_336,12
tag_751,6
tag_57,11
tag_699,12
tag_776,7
tag_389,9
tag_175,7
tag_799,16
tag_647,5
tag_773,9
tag_639,6
tag_282,12
tag_599,8
tag_765,16
tag_39,17
tag_211,10
tag_239,10
tag_75,10
tag_182,7
tag_280,8
tag_450,15
tag_431,10
tag_624,11
tag_299,6
tag_319,18
tag_890,9
tag_603,8
tag_743,9
tag_812,18
tag_770,9
tag_529,11
tag_715,12
tag_696,9
tag_381,7
tag_518,9
tag_34,8
tag_752,9
tag_404,8
tag_949,3
tag_845,12
tag_345,19
tag_546,16
tag_199,7
tag_430,11
tag_335,12
tag_143,10
tag_967,10
tag_593,10
tag_131,8
tag_392,8
tag_982,11
tag_718,10
tag_45,6
tag_217,13
tag_265,13
tag_176,10
tag_835,8
tag_437,9
tag_705,8
tag_23,12
tag_98,6
tag_532,13
tag_110,5
tag_643,12
tag_741,9
tag_582,10
tag_991,9
tag_446,6
tag_79,11
tag_309,12
tag_270,12
tag_891,8
tag_613,7
tag_403,12
tag_792,13
tag_694,15
tag_910,15
tag_654,8
tag_100,14
tag_377,8
tag_615,17
tag_597,9
tag_909,12
tag_692,18
tag_955,13
tag_626,10
tag_632,9
tag_695,7
tag_870,12
tag_42,9
tag_539,8
tag_145,9
tag_537,8
tag_493,9
tag_48,9
tag_37,14
tag_31,12
tag_569,3
tag_294,4
tag_245,12
tag_346,9
tag_971,11
tag_496,6
tag_99,13
tag_159,16
tag_749,11
tag_409,8
tag_888,4
tag_115,8
tag_940,10
tag_762,4
tag_851,14
tag_427,3
tag_63,15
tag_928,8
tag_184,11
tag_568,7
tag_150,9
tag_105,9
tag_359,10
tag_355,3
tag_273,9
tag_343,14
tag_252,10
tag_544,9
tag_328,5
tag_376,7
tag_88,12
tag_908,13
tag_735,5
tag_130,13
tag_742,16
tag_54,10
tag_795,11
tag_212,13
tag_406,12
tag_790,10
tag_803,6
tag_263,11
tag_501,13
tag_766,10
tag_511,9
tag_831,10
tag_171,9
tag_514,12
tag_287,9
tag_227,7
tag_221,5
tag_158,7
tag_419,12
tag_132,9
tag_604,8
tag_555,9
tag_638,7
tag_155,7
tag_147,11
tag_498,9
tag_919,11
tag_885,10
tag_502,12
tag_591,10
tag_65,6
tag_553,6
tag_661,13
tag_565,14
tag_123,5
tag_60,9
tag_975,8
tag_587,7
tag_268,7
tag_554,9
tag_954,15
tag_640,10
tag_135,9
tag_937,10
tag_480,7
tag_457,11
tag_125,13
tag_223,14
tag_472,9
tag_922,11
tag_13,7
tag_109,6
tag_526,17
tag_560,14
tag_736,13
tag_168,10
tag_488,10
tag_485,8
tag_398,7
tag_160,7
tag_441,10
tag_507,5
tag_984,9
tag_179,12
tag_688,12
tag_323,6
tag_408,8
tag_572,8
tag_455,16
tag_667,10
tag_136,9
tag_445,13
tag_495,7
tag_167,13
tag_964,11
tag_365,7
tag_368,9
tag_197,13
tag_497,9
tag_918,10
tag_663,5
tag_979,10
tag_811,8
tag_322,17
tag_533,10
tag_85,5
tag_462,6
tag_241,8
tag_192,6
tag_719,13
tag_899,8
tag_534,9
tag_413,11
tag_711,9
tag_673,9
tag_607,15
tag_278,12
tag_813,6
tag_668,10
tag_126,6
tag_200,10
tag_416,4
tag_315,9
tag_490,5
tag_442,9
tag_157,12
tag_456,13
tag_387,9
tag_405,8
tag_859,12
tag_874,11
tag_708,10
tag_492,4
tag_578,13
tag_815,11
tag_503,18
tag_129,9
tag_429,8
tag_314,9
tag_11,11
tag_86,10
tag_195,9
tag_186,12
tag_301,10
tag_600,8
tag_459,11
tag_415,9
tag_617,22
tag_686,7
tag_865,7
tag_61,15
tag_410,8
tag_414,10
tag_825,12
tag_669,11
tag_253,7
tag_680,7
tag_872,13
tag_374,10
tag_917,8
tag_14,9
tag_312,13
tag_173,9
tag_700,8
tag_998,13
tag_436,9
tag_16,9
tag_969,11
tag_89,9
tag_671,12
tag_203,8
tag_187,8
tag_827,14
tag_38,5
tag_58,8
tag_68,13
tag_713,13
tag_439,5
tag_361,11
tag_73,10
tag_527,11
tag_541,15
tag_651,12
tag_976,14
tag_934,7
tag_904,10
tag_710,11
tag_113,16
tag_283,7
tag_659,11
tag_307,12
tag_619,10
tag_942,9
tag_961,16
tag_983,11
tag_589,8
tag_936,6
tag_286,8
tag_15,10
tag_562,11
tag_658,12
tag_681,12
tag_82,6
tag_433,13
tag_194,7
tag_156,8
tag_96,14
tag_311,8
tag_169,8
tag_469,7
tag_993,8
tag_873,11
tag_347,11
tag_382,11
tag_517,7
tag_484,14
tag_750,9
tag_850,17
tag_566,8
tag_72,8
tag_204,10
tag_706,6
tag_1,10
tag_76,5
tag_682,7
tag_987,6
tag_351,8
tag_284,9
tag_140,4
tag_879,8
tag_271,13
tag_425,6
tag_726,9
tag_974,10
tag_834,7
tag_878,14
tag_796,7
tag_608,9
tag_249,5
tag_900,5
tag_516,7
tag_296,9
tag_411,12
tag_957,5
tag_35,11
tag_508,8
tag_628,6
tag_758,6
tag_645,10
tag_191,8
tag_458,11
tag_24,10
tag_3,6
tag_678,7
tag_292,10
tag_10,12
tag_883,8
tag_807,7
tag_775,11
tag_606,4
tag_944,4
tag_95,4
tag_784,10
tag_305,5
tag_4,6
tag_561,11
tag_822,6
tag_887,8
tag_965,11
tag_676,7
tag_144,5
tag_906,8
tag_242,10
tag_321,11
tag_378,10
tag_401,7
tag_558,9
tag_837,17
tag_748,8
tag_801,4
tag_660,7
tag_968,10
tag_570,5
tag_279,10
tag_838,10
tag_536,7
tag_254,5
tag_833,8
tag_137,7
tag_584,7
tag_327,10
tag_423,15
tag_677,6
tag_51,7
tag_814,9
tag_712,7
tag_216,10
tag_737,7
tag_520,7
tag_172,5
tag_601,4
tag_966,11
tag_839,6
tag_108,7
tag_71,5
tag_786,4
tag_521,8
tag_262,4
tag_352,9
tag_499,5
tag_579,9
tag_244,7
tag_635,5
tag_543,4
tag_819,9
tag_19,10
tag_350,9
tag_366,5
tag_782,3
tag_945,7
tag_238,7
tag_463,11
tag_951,8
tag_818,3
tag_300,7
tag_258,7
tag_787,5
tag_385,5
tag_877,3
tag_924,7
tag_207,8
tag_866,5
tag_921,6
tag_460,6
tag_370,6
tag_929,7
tag_248,11
tag_548,7
tag_208,3
tag_559,5
tag_755,5
tag_43,4
tag_226,5
tag_121,11
tag_83,9
tag_709,8
tag_836,4
tag_551,4
tag_272,2

Port/Protocol Combination Counts:
Port,Protocol,Count
12960,udp,1
2025,udp,1
44453,udp,1
21052,tcp,1
17216,icmp,1
8876,tcp,1
3914,tcp,1
40244,tcp,1
11324,tcp,1
49307,udp,1
64711,tcp,1
5404,udp,1
56415,icmp,1
24316,tcp,1
51684,tcp,1
53633,icmp,1
18956,tcp,1
4960,udp,1
59242,icmp,1
25969,tcp,1
26806,icmp,1
34454,tcp,1
39335,tcp,2
8527,tcp,1
59614,tcp,1
49067,icmp,1
53873,icmp,1
403,udp,1
46358,icmp,1
30214,tcp,1
39191,icmp,1
37044,udp,1
17811,icmp,1
44992,tcp,1
57125,udp,1
35821,icmp,1
51222,udp,1
52446,icmp,1
54979,udp,2
46133,icmp,1
4129,tcp,1
45175,tcp,1
30817,icmp,1
64387,icmp,1
29223,tcp,1
55114,udp,1
42598,tcp,1
48744,udp,1
64182,udp,1
43124,icmp,1
53404,udp,1
20734,tcp,1
18510,tcp,1
21783,udp,1
4313,icmp,1
11695,tcp,1
398,udp,1
14631,icmp,2
39027,tcp,1
2770,icmp,1
14678,udp,1
43861,icmp,1
51848,udp,1
44655,icmp,1
11119,icmp,2
34061,icmp,1
363,tcp,1
9200,udp,1
44640,tcp,1
27702,udp,1
24355,udp,1
1513,tcp,1
62002,tcp,1
4821,udp,1
51924,icmp,1
56566,icmp,1
16859,udp,1
8195,tcp,1
35417,tcp,1
50724,icmp,1
29875,tcp,1
18225,icmp,1
53418,icmp,1
63605,tcp,1
26201,icmp,1
3421,icmp,1
20272,tcp,1
9247,udp,1
45217,udp,1
9770,tcp,1
28774,tcp,1
5061,udp,1
22540,tcp,1
33451,tcp,1
42221,icmp,1
12435,udp,1
44415,icmp,1
41783,icmp,1
37088,icmp,1
40455,icmp,1
24580,udp,1
65066,icmp,1
12130,icmp,1
10196,tcp,1
4124,icmp,1
56664,udp,1
3597,udp,1
14052,tcp,1
2270,udp,1
27262,icmp,1
11274,tcp,1
32482,tcp,1
16416,icmp,1
49026,udp,1
5358,icmp,1
42868,tcp,1
42207,udp,1
43214,tcp,1
37428,tcp,1
37398,tcp,1
20655,udp,1
34004,icmp,1
10725,tcp,1
45324,icmp,1
14322,icmp,2
31586,icmp,1
51766,udp,1
42757,tcp,1
3587,icmp,1
45999,udp,1
5367,udp,2
54629,icmp,1
28416,icmp,1
12155,tcp,1
11754,tcp,2
3818,udp,1
32672,icmp,1
58328,udp,1
40923,icmp,1
15527,icmp,1
34335,tcp,1
17656,udp,1
56529,icmp,2
38173,udp,1
11515,icmp,1
30941,icmp,1
13724,udp,1
26819,udp,1
55975,udp,1
36421,udp,1
65437,icmp,1
28680,icmp,1
62703,icmp,1
59332,udp,1
64601,tcp,1
37061,udp,1
44116,udp,1
31754,icmp,1
21601,tcp,1
24012,tcp,1
43667,udp,1
17430,icmp,1
12081,udp,1
33489,tcp,1
32905,tcp,1
47995,icmp,1
17596,icmp,1
40559,udp,1
5064,tcp,1
52331,icmp,1
38201,udp,1
51431,tcp,1
10811,tcp,2
11751,icmp,1
47340,tcp,1
16761,tcp,2
55593,udp,1
18477,tcp,1
57944,udp,1
2773,icmp,1
18463,icmp,1
22516,udp,1
26756,udp,1
14965,udp,1
17850,icmp,1
53217,udp,1
36562,udp,1
14975,icmp,1
30964,tcp,1
39112,udp,1
15197,udp,1
30400,icmp,1
63762,udp,1
10540,udp,1
25953,icmp,1
6142,icmp,1
7490,udp,1
56500,icmp,1
41103,udp,1
52708,icmp,1
43035,icmp,1
49979,tcp,1
47030,tcp,1
58819,udp,1
3990,udp,1
16221,tcp,1
5292,tcp,1
40008,udp,1
31423,udp,1
16947,icmp,1
177,icmp,2
16724,tcp,1
61537,icmp,1
61636,tcp,1
41316,udp,1
7598,tcp,1
30272,udp,1
46052,icmp,1
39626,icmp,1
21780,tcp,1
8032,icmp,1
26340,udp,1
2171,udp,1
16407,udp,1
28081,udp,1
30026,tcp,1
58111,tcp,2
23677,udp,1
12783,tcp,1
63456,udp,1
9580,tcp,1
32971,udp,1
43805,icmp,1
29189,icmp,1
20593,icmp,1
3362,udp,1
62312,udp,1
43144,udp,1
12510,icmp,1
6476,tcp,2
37255,tcp,1
56971,udp,1
584,tcp,1
9231,icmp,1
1589,tcp,1
2465,tcp,1
2443,tcp,1
36766,tcp,1
23266,udp,1
44916,tcp,1
38578,udp,1
17224,udp,1
10646,udp,1
53804,tcp,1
883,tcp,1
57963,icmp,1
20308,tcp,1
59650,udp,1
12954,udp,1
5181,udp,1
48349,tcp,1
63771,tcp,1
47711,icmp,1
25130,tcp,1
18205,icmp,1
24011,tcp,1
42846,udp,1
63558,tcp,1
12342,icmp,1
63285,udp,1
30604,udp,1
27879,icmp,1
53734,udp,1
38129,udp,1
24312,icmp,1
31072,icmp,1
2884,icmp,1
5340,udp,1
31630,tcp,1
59413,tcp,1
37718,udp,1
33361,tcp,1
20199,udp,1
2066,udp,1
11244,tcp,1
11524,tcp,1
15268,udp,1
4678,tcp,1
19351,udp,1
26643,icmp,1
30592,tcp,1
2921,icmp,1
59975,icmp,1
33444,udp,1
32830,udp,1
22679,udp,1
41089,udp,1
63460,tcp,1
12978,icmp,1
64791,tcp,1
32094,udp,1
12693,icmp,2
5704,udp,1
38621,udp,1
11641,udp,1
59114,icmp,1
26605,udp,1
7333,tcp,1
55380,icmp,1
30961,icmp,1
52909,tcp,1
64965,tcp,1
15368,udp,1
26554,icmp,1
10453,tcp,1
45671,icmp,1
40961,tcp,1
60035,tcp,1
22579,icmp,1
30210,icmp,1
174,udp,1
53644,icmp,1
3217,icmp,1
22166,icmp,1
4221,udp,1
756,tcp,1
43068,icmp,1
48633,icmp,1
52091,tcp,1
26503,icmp,1
43770,icmp,1
8253,icmp,1
34423,icmp,1
45605,icmp,1
64736,udp,1
54702,icmp,1
46316,udp,1
28012,icmp,1
3747,udp,1
32426,icmp,1
48088,tcp,1
27095,tcp,1
13437,icmp,2
52922,udp,1
41818,udp,1
10905,icmp,2
54610,tcp,1
15902,icmp,1
46649,tcp,1
32716,icmp,1
53084,icmp,1
36840,icmp,1
4693,icmp,1
58670,tcp,1
16473,tcp,1
29525,icmp,1
36829,icmp,1
15358,icmp,1
65184,udp,1
49029,icmp,1
44241,udp,1
46653,udp,1
12702,icmp,1
35476,udp,1
7583,icmp,1
2623,icmp,1
63671,tcp,1
4037,udp,1
57193,icmp,1
24674,tcp,1
10163,icmp,1
30620,udp,1
64905,icmp,1
23959,tcp,1
27238,udp,1
43928,udp,1
54627,tcp,1
53869,tcp,2
7326,icmp,1
56109,udp,1
5125,udp,1
41366,icmp,1
31676,udp,1
50721,udp,1
6223,tcp,1
6840,icmp,1
39289,icmp,1
13753,udp,1
15295,udp,1
12551,tcp,1
64957,icmp,1
34821,icmp,1
5052,udp,1
64107,tcp,1
2030,udp,1
32341,tcp,1
41800,icmp,1
39300,icmp,1
59087,udp,1
52548,udp,1
3473,icmp,1
44166,tcp,1
24046,udp,1
62267,tcp,1
46425,icmp,1
18413,tcp,1
41784,icmp,1
15503,udp,1
13388,udp,1
25629,udp,1
15550,icmp,1
39919,udp,1
24670,tcp,1
3757,udp,1
36937,tcp,1
30404,tcp,1
12063,icmp,1
56736,icmp,1
53295,icmp,1
34054,tcp,1
32834,tcp,1
45539,tcp,2
33509,udp,1
3566,tcp,1
48555,icmp,1
6860,udp,1
60854,icmp,1
2728,icmp,1
58872,icmp,1
17111,icmp,1
34073,udp,1
38772,icmp,1
54450,tcp,1
11277,tcp,2
34098,tcp,1
34548,tcp,1
50169,icmp,1
39908,tcp,1
62298,udp,1
30373,udp,1
20531,tcp,1
36217,udp,1
13577,tcp,1
18318,udp,2
65265,icmp,1
56631,icmp,1
51626,udp,1
63451,udp,1
25159,tcp,1
30539,icmp,1
39105,icmp,1
10124,udp,1
7616,icmp,1
47503,udp,1
65350,tcp,1
23122,icmp,1
37936,icmp,1
9242,tcp,1
14625,tcp,1
34441,icmp,1
18662,udp,1
9582,tcp,1
42334,udp,1
12699,tcp,1
24356,udp,1
63334,udp,1
29154,udp,1
57746,tcp,1
38150,udp,1
43009,udp,1
33943,icmp,1
38957,icmp,1
21165,tcp,1
4222,tcp,1
848,icmp,1
46609,udp,1
50726,udp,1
44492,tcp,2
36176,tcp,1
63046,udp,2
8910,tcp,1
39829,tcp,1
10829,tcp,1
18819,icmp,1
54257,tcp,1
40249,icmp,1
11950,udp,1
61035,icmp,1
48207,udp,1
54703,tcp,1
11946,tcp,2
11643,udp,1
9961,tcp,1
48486,icmp,1
64573,udp,1
23717,icmp,1
3893,tcp,1
56740,tcp,1
43797,icmp,1
7864,tcp,1
63218,udp,2
8732,icmp,1
9616,udp,1
16429,icmp,1
15357,tcp,1
51464,icmp,1
31873,icmp,1
15417,tcp,1
30835,icmp,1
33766,udp,1
51677,icmp,1
57866,tcp,1
269,icmp,1
60297,udp,1
65032,udp,1
6663,tcp,1
3935,tcp,1
21127,tcp,1
32690,tcp,1
61129,icmp,1
37457,tcp,1
41361,icmp,1
35700,tcp,1
31055,udp,1
45607,icmp,1
6700,icmp,1
61403,udp,1
15308,udp,1
4288,icmp,1
59956,tcp,1
38187,tcp,1
34695,tcp,1
57822,icmp,1
11505,icmp,1
4733,udp,1
61437,udp,1
17072,tcp,1
61189,tcp,1
54821,udp,1
39296,icmp,1
43596,tcp,1
4412,tcp,1
5760,icmp,1
3197,tcp,1
15498,udp,1
28953,tcp,1
884,tcp,1
23427,udp,1
35272,udp,1
58509,tcp,1
15291,tcp,1
9501,icmp,1
24830,icmp,1
51590,udp,1
14788,udp,1
50882,udp,1
23252,icmp,1
40999,udp,1
56135,udp,1
10960,icmp,1
536,udp,1
16882,icmp,2
39523,udp,1
45226,tcp,1
60830,tcp,1
24763,udp,1
63096,tcp,1
20720,icmp,1
52953,tcp,1
18516,icmp,1
49647,tcp,1
53750,udp,1
55055,udp,1
6632,icmp,1
21604,tcp,1
3858,icmp,1
59900,icmp,1
58788,icmp,1
17772,udp,1
39735,tcp,1
45923,udp,1
8520,icmp,1
41345,icmp,1
40185,tcp,1
43545,icmp,1
25591,icmp,1
9900,udp,1
27588,tcp,1
5857,udp,1
62168,icmp,1
33266,udp,1
28616,udp,1
11241,icmp,1
55687,udp,1
43175,icmp,1
50100,tcp,1
4046,tcp,1
42680,udp,1
20756,udp,1
36136,icmp,1
37062,icmp,1
52033,icmp,1
5921,udp,1
13885,icmp,1
13905,tcp,1
38357,udp,1
54934,icmp,1
21891,icmp,1
28034,icmp,1
12777,tcp,1
29943,icmp,1
24868,tcp,1
37786,tcp,1
44703,udp,1
43258,udp,1
20393,udp,1
38471,icmp,1
7944,icmp,1
21504,udp,1
37211,tcp,1
6619,udp,1
8193,icmp,1
46742,udp,1
21072,udp,1
37239,udp,1
4071,udp,1
56787,udp,1
23440,udp,1
17346,icmp,1
63352,tcp,1
25103,tcp,1
13931,tcp,1
65453,icmp,1
17053,udp,1
7908,udp,1
10568,icmp,1
63946,icmp,1
8965,udp,1
41439,tcp,1
40389,icmp,1
1401,tcp,1
60803,udp,1
20649,udp,1
23052,udp,1
24566,tcp,1
17156,tcp,1
45307,tcp,2
1203,udp,1
58545,icmp,1
41837,icmp,2
7287,icmp,1
49188,tcp,1
25947,udp,1
14745,udp,1
5018,tcp,1
28954,tcp,1
16901,tcp,1
49671,udp,1
24281,udp,1
51417,tcp,1
8649,udp,1
60489,tcp,1
63921,udp,1
63412,icmp,1
22352,icmp,1
36693,tcp,1
45835,tcp,1
27569,udp,1
46318,udp,1
58594,icmp,1
25697,tcp,1
58263,udp,1
16028,icmp,1
37433,icmp,1
57919,icmp,1
16039,icmp,1
11690,icmp,1
62135,udp,1
22546,udp,1
56406,icmp,1
10601,tcp,1
54872,udp,2
53110,udp,1
18333,tcp,1
53206,tcp,1
20716,tcp,1
5772,udp,1
9387,tcp,1
39802,tcp,1
37677,tcp,1
56255,udp,1
42950,tcp,1
27386,udp,1
18579,udp,1
10489,udp,1
13971,udp,1
32542,udp,1
37091,tcp,1
19035,icmp,1
60726,udp,1
24155,tcp,1
53384,udp,1
55582,icmp,1
11711,icmp,1
29470,icmp,1
7288,icmp,1
42145,tcp,1
48008,icmp,1
29998,tcp,1
54552,icmp,1
65390,udp,1
55005,icmp,1
10155,icmp,1
10567,udp,1
27189,tcp,1
11669,icmp,1
13749,tcp,1
37238,udp,1
24826,icmp,1
46011,icmp,1
21515,udp,1
50947,icmp,1
17913,tcp,1
1648,icmp,1
22399,tcp,1
2886,udp,1
53989,tcp,1
35329,tcp,1
39834,tcp,1
38537,tcp,1
20223,tcp,1
24394,tcp,1
7811,icmp,1
28106,udp,1
62591,icmp,1
11084,icmp,1
7162,icmp,1
10383,udp,1
30369,udp,1
26843,udp,1
55190,udp,1
180,tcp,1
24316,udp,1
11220,udp,1
56204,tcp,1
31474,icmp,1
55995,tcp,1
38724,icmp,1
46366,icmp,1
47368,icmp,2
63142,tcp,1
50838,tcp,1
8571,icmp,1
25379,icmp,1
32163,udp,1
57832,icmp,1
11961,udp,1
3288,icmp,1
61849,icmp,1
56471,udp,1
55720,icmp,1
42823,udp,1
1494,tcp,1
46343,icmp,1
10418,tcp,1
25872,tcp,1
48466,icmp,1
24388,udp,1
25530,udp,1
17618,icmp,2
21212,tcp,1
60596,tcp,1
27412,tcp,1
62335,icmp,1
17105,udp,1
3272,tcp,1
57964,udp,1
47124,udp,1
13241,icmp,1
43205,icmp,1
44158,tcp,1
60479,icmp,1
48268,icmp,1
48710,udp,1
46380,tcp,1
55245,tcp,1
38097,tcp,1
11576,icmp,1
25303,icmp,1
13121,udp,1
17729,udp,2
61547,icmp,1
35045,icmp,1
57583,icmp,1
59558,udp,1
29655,icmp,1
53306,icmp,1
18180,tcp,1
52792,udp,1
23523,tcp,1
51204,udp,1
17382,icmp,1
